HS CODE	DESCRIPTION  / KEYWORD
282619	Hypobromite
282619	Sodium hexafluoroaluminate
282739	Ammonium
282739	Calcium
282739	Copper
282739	Manganous
282739	Stannic
250100	Quartz sands
250100	Sintered magnesia
250100	Slaked lime
250100	Sodium chloride
250100	Supersulphate cement
250100	Tarred macadam
250100	Vermiculite
260111	Antimony
260111	Copper
260111	Iron
260111	Lead
260111	Molybdenum
260111	Nickel
260111	Silver
260111	Tungsten
260111	Vanadium
261800	Ash
261800	Slag
270900	Lignite wax
270900	Lignite wax
270900	Petroleum bitumen
271114	Butylene
271210	Petroleum wax
280300	Alkaline earth metals
280300	Boric acids
280300	Boron
280300	Carbon
280300	Hydrogen
280300	Hydrogen chloride
280300	Mercury
280300	Nitrogen
280300	Oleum
280300	Phosphoric acid
280300	Phosphorus
280300	Polyphosphoric acids
280300	Selenium
280300	Silica gel
280300	Sulphonitric acids
280300	Sulphonitric acids
280300	Tellurium
280300	Yttrium
281290	Artificial corundum
281290	Artificial corundum
281290	Carbon disulphide
281290	Carbon disulphide
281290	Caustic soda
281290	Caustic soda
281290	Halides
282590	Barium
282590	Carbon
282590	Potassium
282619	Sodium bromide
282619	Sodium hexafluoroaluminate
282739	Aluminum
282739	Barium chloride
282739	Magnesium
282990	Periodates
282990	Peroxosulphates
282990	Polysulphides
282990	Sulphites
282990	Sulphoxylates
282990	Thiosulphates
283699	Ammonium carbonate
283699	Ammonium carbonate
283699	Calcium hydrogenorthophosphate
283699	Manganites
283699	Molybdates
283699	Permanganates
283699	Silicate
283699	Sodium dichromate
283699	Sodium dichromate
283699	Sodium hydrogencarbonate
283699	Sodium triphosphate
283699	Sodium triphosphate
284390	Borides
284390	Carbides
284390	Colloidal precious metal
284390	Compressed air
284390	Gold compound
284390	Hydrides
284390	Silver compound
284390	Silver nitrate
284440	Spent Heavy water
290129	Buta
290129	Carbon tetrachloride
290129	Chlorobenzene
290129	Cumene
290129	dibromotetrafluoroethane
290129	Dichlorofluoroethanes
290129	Ethane
290129	Ethyl chloride
290129	Methyl chloride
290129	Methyl chloride
290129	Methylene chloride
290129	Methylene chloride
292429	Counter medication
292429	Non prescription medication
292429	Tylenol
293690	Adrenal
293690	Aloe gold
293690	Apidexin
293690	Barley tablet
293690	Body care products
293690	Capsules
293690	Cold medicine
293690	Cold preparations
293690	Cough preperations
293690	Curcumasorb
293690	Decaslim
293690	Detox
293690	Dietary powder
293690	Dietary supplement
293690	Dietary supplement tea
293690	Dpatone
293690	Electrolyte
293690	Endothelial defense
293690	Essence
293690	Flora prime
293690	Food additive
293690	Green coffee bean
293690	Green Naturalaser
293690	Health products
293690	Health products
293690	Herbal product
293690	Herbal tablets
293690	Homeopathic
293690	Insulin
293690	Kaprex
293690	Magnesium
293690	Meal replacement
293690	Mineral supplement
293690	Mint matrix
293690	Natural supplement
293690	Neutralizer
293690	Non prescription medication
293690	Nutritopn spply
293690	Omegakrill
293690	Prednisone
293690	Remedies
293690	Remedy
293690	Supplement
